,0
HSPE1-MOB4,0.21053347043478066
CKLF-CMTM1,0.027542411350457943
SYNJ2BP-COX16,-0.2949201541104627
CHURC1-FNTB,-0.06755889531576978
MIA-RAB4B,0.12515227370328205
RAB4B-EGLN2,0.026678309452463956
ZNF625-ZNF20,-0.10669948402894447
AP1M2,-0.10443913819010499
NPHP3-ACAD11,0.07154309649714527
NDUFC2-KCTD14,-0.11099301476960156
COMMD3-BMI1,0.12308056602145008
MSH5-SAPCD1,-0.06628856885249172
INO80B-WBP1,-0.18718728103617938
ATP6V1G2-DDX39B,0.1986448429829936
PPT2-EGFL8,0.005737355714173086
C8orf44-SGK3,-0.2835805807960384
RTEL1-TNFRSF6B,-0.07484582790501815
ZNF670-ZNF695,0.10073388853854151
UBE2F-SCLY,0.0844353821355026
