,0
ACSBG1,0.1008556826306058
ACSBG2,0.15492156340995647
ACSF2,-0.17219393167853445
ACSF3,0.10164830676835747
ACSL1,0.1396269537749543
ACSL3,-0.38801403389453787
ACSL4,-0.17712172039393442
ACSL5,0.06312978453476481
ACSL6,-0.03130579734516397
ACSM1,-0.007347576651904156
ACSM2A,0.041735646036432726
ACSM2B,0.1197451633606679
ACSM3,0.010404809574734223
ACSM4,0.07558630915507447
ACSM5,0.044549721785573385
ACSM6,0.09249385870636587
ACSS1,0.1358929236600571
ACSS2,0.05284429408719341
ACSS3,0.02579347624018759
ACTA1,-0.04720588873755931
ACTA2,0.08273069190917882
ACTB,-0.7094563874110922
ACTBL2,0.024465009095313857
ACTC1,-0.026687133038592388
ACTG1,-0.7074457627845966
ACTG2,-0.022114353965873784
